student_id,name,subject,slot,section_label,status
10223,학생47,현대사회와 윤리,d,현대사회와 윤리_d_2,assigned
10223,학생47,세계시민과 지리,a,세계시민과 지리_a_2,assigned
10223,학생47,역사로 탐구하는 현대 세계,c,역사로 탐구하는 현대 세계_c_1,assigned
10224,학생48,화학,c,화학_c_1,assigned
10224,학생48,역사로 탐구하는 현대 세계,b,역사로 탐구하는 현대 세계_b_1,assigned
10224,학생48,융합과학 탐구,a,융합과학 탐구_a_1,assigned
10225,학생49,정치,b,정치_b_1,assigned
10225,학생49,세계시민과 지리,a,세계시민과 지리_a_1,assigned
10225,학생49,역사로 탐구하는 현대 세계,c,역사로 탐구하는 현대 세계_c_2,assigned
10226,학생50,화학,b,화학_b_1,assigned
10226,학생50,기하,d,기하_d_1,assigned
10226,학생50,융합과학 탐구,a,융합과학 탐구_a_1,assigned
10301,학생51,화학,a,화학_a_1,assigned
10301,학생51,물리학,b,물리학_b_1,assigned
10301,학생51,기하,c,기하_c_1,assigned
10302,학생52,화학,d,화학_d_1,assigned
10302,학생52,물리학,b,물리학_b_1,assigned
10302,학생52,융합과학 탐구,a,융합과학 탐구_a_1,assigned
10303,학생53,현대사회와 윤리,c,현대사회와 윤리_c_2,assigned
10303,학생53,역사로 탐구하는 현대 세계,b,역사로 탐구하는 현대 세계_b_2,assigned
10303,학생53,융합과학 탐구,a,융합과학 탐구_a_1,assigned
10304,학생54,현대사회와 윤리,c,현대사회와 윤리_c_1,assigned
10304,학생54,세계시민과 지리,a,세계시민과 지리_a_2,assigned
10304,학생54,역사로 탐구하는 현대 세계,b,역사로 탐구하는 현대 세계_b_1,assigned
10305,학생55,화학,a,화학_a_1,assigned
10305,학생55,물리학,b,물리학_b_1,assigned
10305,학생55,기하,d,기하_d_1,assigned
10306,학생56,현대사회와 윤리,b,현대사회와 윤리_b_1,assigned
10306,학생56,정치,a,정치_a_1,assigned
10306,학생56,역사로 탐구하는 현대 세계,c,역사로 탐구하는 현대 세계_c_1,assigned
10307,학생57,화학,c,화학_c_1,assigned
10307,학생57,물리학,b,물리학_b_1,assigned
10307,학생57,기하,d,기하_d_1,assigned
10308,학생58,화학,d,화학_d_1,assigned
10308,학생58,물리학,c,물리학_c_1,assigned
10308,학생58,기하,a,기하_a_2,assigned
10309,학생59,화학,b,화학_b_1,assigned
10309,학생59,물리학,a,물리학_a_1,assigned
10309,학생59,기하,d,기하_d_1,assigned
10310,학생60,화학,b,화학_b_1,assigned
10310,학생60,물리학,d,물리학_d_1,assigned
10310,학생60,기하,a,기하_a_1,assigned
10311,학생61,현대사회와 윤리,b,현대사회와 윤리_b_2,assigned
10311,학생61,정치,d,정치_d_1,assigned
10311,학생61,세계시민과 지리,a,세계시민과 지리_a_1,assigned
10312,학생62,화학,c,화학_c_1,assigned
10312,학생62,물리학,a,물리학_a_1,assigned
10312,학생62,융합과학 탐구,b,융합과학 탐구_b_1,assigned
10313,학생63,현대사회와 윤리,d,현대사회와 윤리_d_1,assigned
10313,학생63,세계시민과 지리,a,세계시민과 지리_a_2,assigned
10313,학생63,역사로 탐구하는 현대 세계,c,역사로 탐구하는 현대 세계_c_2,assigned
10314,학생64,화학,a,화학_a_1,assigned
10314,학생64,물리학,b,물리학_b_1,assigned
10314,학생64,기하,c,기하_c_1,assigned
10315,학생65,현대사회와 윤리,c,현대사회와 윤리_c_2,assigned
10315,학생65,정치,b,정치_b_2,assigned
10315,학생65,세계시민과 지리,a,세계시민과 지리_a_1,assigned
10316,학생66,화학,b,화학_b_1,assigned
10316,학생66,역사로 탐구하는 현대 세계,c,역사로 탐구하는 현대 세계_c_1,assigned
10316,학생66,융합과학 탐구,a,융합과학 탐구_a_1,assigned
10317,학생67,현대사회와 윤리,b,현대사회와 윤리_b_1,assigned
10317,학생67,정치,d,정치_d_1,assigned
10317,학생67,세계시민과 지리,a,세계시민과 지리_a_2,assigned
10318,학생68,현대사회와 윤리,a,현대사회와 윤리_a_1,assigned
10318,학생68,정치,d,정치_d_1,assigned
10318,학생68,세계시민과 지리,b,세계시민과 지리_b_1,assigned
10319,학생69,정치,a,정치_a_1,assigned
10319,학생69,세계시민과 지리,d,세계시민과 지리_d_1,assigned
10319,학생69,역사로 탐구하는 현대 세계,c,역사로 탐구하는 현대 세계_c_2,assigned
10320,학생70,화학,d,화학_d_1,assigned
10320,학생70,물리학,b,물리학_b_1,assigned
10320,학생70,융합과학 탐구,a,융합과학 탐구_a_1,assigned
10321,학생71,화학,a,화학_a_1,assigned
10321,학생71,물리학,b,물리학_b_1,assigned
10321,학생71,기하,c,기하_c_1,assigned
10323,학생72,현대사회와 윤리,a,현대사회와 윤리_a_2,assigned
10323,학생72,정치,d,정치_d_1,assigned
10323,학생72,역사로 탐구하는 현대 세계,b,역사로 탐구하는 현대 세계_b_2,assigned
10324,학생73,화학,c,화학_c_1,assigned
10324,학생73,물리학,b,물리학_b_1,assigned
10324,학생73,기하,d,기하_d_1,assigned
10325,학생74,현대사회와 윤리,d,현대사회와 윤리_d_2,assigned
10325,학생74,정치,a,정치_a_1,assigned
10325,학생74,세계시민과 지리,c,세계시민과 지리_c_1,assigned
10401,학생75,현대사회와 윤리,d,현대사회와 윤리_d_1,assigned
10401,학생75,정치,b,정치_b_1,assigned
10401,학생75,세계시민과 지리,a,세계시민과 지리_a_1,assigned
10402,학생76,화학,c,화학_c_1,assigned
10402,학생76,물리학,d,물리학_d_1,assigned
10402,학생76,기하,a,기하_a_2,assigned
10403,학생77,현대사회와 윤리,a,현대사회와 윤리_a_1,assigned
10403,학생77,화학,b,화학_b_1,assigned
10403,학생77,융합과학 탐구,c,융합과학 탐구_c_1,assigned
10404,학생78,정치,b,정치_b_2,assigned
10404,학생78,세계시민과 지리,a,세계시민과 지리_a_2,assigned
10404,학생78,역사로 탐구하는 현대 세계,c,역사로 탐구하는 현대 세계_c_1,assigned
10405,학생79,화학,b,화학_b_1,assigned
10405,학생79,물리학,c,물리학_c_1,assigned
10405,학생79,기하,d,기하_d_1,assigned
10406,학생80,현대사회와 윤리,b,현대사회와 윤리_b_2,assigned
10406,학생80,정치,d,정치_d_1,assigned
10406,학생80,융합과학 탐구,a,융합과학 탐구_a_1,assigned
10407,학생81,화학,b,화학_b_1,assigned
10407,학생81,물리학,a,물리학_a_1,assigned
10407,학생81,기하,c,기하_c_1,assigned
10408,학생82,화학,b,화학_b_1,assigned
10408,학생82,물리학,d,물리학_d_1,assigned
10408,학생82,기하,a,기하_a_1,assigned
10409,학생83,화학,b,화학_b_1,assigned
10409,학생83,물리학,a,물리학_a_1,assigned
10409,학생83,기하,d,기하_d_1,assigned
10410,학생84,현대사회와 윤리,a,현대사회와 윤리_a_2,assigned
10410,학생84,정치,b,정치_b_1,assigned
10410,학생84,세계시민과 지리,c,세계시민과 지리_c_1,assigned
10411,학생85,현대사회와 윤리,b,현대사회와 윤리_b_1,assigned
10411,학생85,세계시민과 지리,c,세계시민과 지리_c_1,assigned
10411,학생85,역사로 탐구하는 현대 세계,a,역사로 탐구하는 현대 세계_a_1,assigned
10412,학생86,현대사회와 윤리,d,현대사회와 윤리_d_2,assigned
10412,학생86,정치,b,정치_b_2,assigned
10412,학생86,역사로 탐구하는 현대 세계,c,역사로 탐구하는 현대 세계_c_2,assigned
10413,학생87,현대사회와 윤리,a,현대사회와 윤리_a_1,assigned
10413,학생87,역사로 탐구하는 현대 세계,c,역사로 탐구하는 현대 세계_c_1,assigned
10413,학생87,융합과학 탐구,b,융합과학 탐구_b_1,assigned
10414,학생88,화학,c,화학_c_1,assigned
10414,학생88,물리학,d,물리학_d_1,assigned
10414,학생88,기하,a,기하_a_2,assigned
10415,학생89,화학,b,화학_b_1,assigned
10415,학생89,물리학,a,물리학_a_1,assigned
10415,학생89,기하,c,기하_c_1,assigned
10416,학생90,화학,b,화학_b_1,assigned
10416,학생90,물리학,d,물리학_d_1,assigned
10416,학생90,기하,a,기하_a_1,assigned
10417,학생91,화학,d,화학_d_1,assigned
10417,학생91,물리학,b,물리학_b_1,assigned
10417,학생91,기하,a,기하_a_2,assigned
10418,학생92,화학,d,화학_d_1,assigned
10418,학생92,기하,a,기하_a_1,assigned
10418,학생92,융합과학 탐구,c,융합과학 탐구_c_1,assigned
10420,학생93,화학,a,화학_a_1,assigned
10420,학생93,물리학,d,물리학_d_1,assigned
10420,학생93,기하,b,기하_b_1,assigned
10421,학생94,현대사회와 윤리,d,현대사회와 윤리_d_1,assigned
10421,학생94,정치,a,정치_a_1,assigned
10421,학생94,화학,b,화학_b_1,assigned
10423,학생95,현대사회와 윤리,c,현대사회와 윤리_c_1,assigned
10423,학생95,세계시민과 지리,a,세계시민과 지리_a_1,assigned
10423,학생95,역사로 탐구하는 현대 세계,b,역사로 탐구하는 현대 세계_b_1,assigned
